假名,日语汉字,中文翻译,容易混淆的单词,混淆词翻译
あいかわらず,,一如既往，老样子,あいかわらず（相変わらず）,相変わらず（一如既往）
アイデア,,构思，创意，想法,イメージ,形象
あいまい,,暧昧，不清楚,明確（めいかく）,明确
あう,遭う,遭遇（不好的事情）,会う（あう）,见面
あおぐ,扇ぐ,扇（风）,仰ぐ（あおぐ）,仰视
あおじろい,青白い,苍白，青白,青い（あおい）,蓝色
あかんぼう,,婴儿,赤ん坊（あかんぼう）,婴儿
あき,明き,空闲，空隙,空（あき）,空
あきれる,,感到吃惊，惊愕,驚く（おどろく）,吃惊
アクセント,,重音，语调,イントネーション,语调
あくび,,打哈欠,欠伸（あくび）,哈欠
あくまで,飽くまで,彻底，坚持到底,徹底的（てっていてき）,彻底
あけがた,明け方,黎明,夕方（ゆうがた）,傍晚
あげる,揚げる,炸，油炸,炒める（いためる）,炒
あげる,挙げる,举起，举出,下げる（さげる）,放下
あげる (=やる),,给（别人做）,やる,给
あこがれる,憧れる,憧憬，向往,愛する（あいする）,爱
あしあと,足跡,足迹,手跡（てあと）,手迹
あじわう,味わう,品尝，品味,食べる（たべる）,吃
あずかる,預かる,保管，暂存,預ける（あずける）,寄存
あたたまる,暖まる,变暖，暖和,冷える（ひえる）,变冷
あたためる,暖める,加热，暖和,冷やす（ひやす）,冷却
あたりまえ,,理所当然，普通,普通（ふつう）,普通
あちらこちら,,这里那里，到处,そこら中（そこらじゅう）,到处
あつかましい,厚かましい,厚脸皮，无耻,恥ずかしい（はずかしい）,害羞
あっしゅく,圧縮,压缩,膨張（ぼうちょう）,膨胀
あてな,宛名,收件人姓名,差出人（さしだしにん）,发件人
あてはまる,,适用，符合,合う（あう）,合适
あてはめる,,适用，套用,適用する（てきようする）,适用
あばれる,暴れる,胡闹，闹腾,大人しく（おとなしく）,老实
あぶら,脂,脂肪，油,油（あぶら）,油
あぶる,,烤，灼,焼く（やく）,烤
あふれる,,溢出，满出,こぼれる（こぼれる）,洒出
あまど,雨戸,防雨窗板,窓（まど）,窗户
あまやかす,甘やかす,溺爱，娇惯,厳しく（きびしく）,严厉
あまる,余る,剩余，剩下,足りる（たりる）,够用
あみもの,編物,编织,織物（おりもの）,织品
あむ,編む,编织,織る（おる）,织
あやうい,危うい,危险,安全（あんぜん）,安全
あやしい,怪しい,可疑，奇怪,普通（ふつう）,普通
あらい,荒い,粗暴，狂暴,優しい（やさしい）,温柔
あらい,粗い,粗糙,細かい（こまかい）,细致
あらすじ,,概要，梗概,詳細（しょうさい）,详细
あらそう,争う,争抢，争夺,譲る（ゆずる）,让步
あらためて,改めて,重新，再次,はじめて（はじめて）,初次
あらためる,改める,改变，改正,変える（かえる）,改变
あらわす,著す,著述，写作,書く（かく）,写
ありがたい,有難い,难得的，值得感激,ありがたい（ありがたい）,难得
ある,在る,存在，有,ない（ない）,没有
あれこれ,,这个那个，种种,それぞれ（それぞれ）,各自
あわただしい,,匆忙，忙碌,穏やか（おだやか）,平稳
あわてる,,慌张，惊慌,落ち着く（おちつく）,冷静
あんい,安易,容易，轻率,困難（こんなん）,困难
あんがい,案外,意外，出乎意料,予想通り（よそうどおり）,预料之中
アンテナ,,天线,受信機（じゅしんき）,接收机
いいだす,言い出す,说出来，开口,言う（いう）,说
いいつける,言い付ける,命令，吩咐,頼む（たのむ）,请求
いぎ,意義,意义,意味（いみ）,意思
いきいき,生き生き,生动，活泼,活気（かっき）,活力
いきなり,,突然，冷不防,徐々に（じょじょに）,逐渐
いくじ,育児,育儿,保育（ほいく）,保育
いくぶん,幾分,稍微，有点,とても（とても）,非常
いけばな,生け花,插花,生花（せいか）,插花
いご,以後,以后，今后,以前（いぜん）,以前
いこう,以降,以后，之后,以前（いぜん）,以前
イコール,,等于，同样,違う（ちがう）,不同
いさましい,勇ましい,勇敢，勇猛,弱気（よわき）,懦弱
いしょくじゅう,衣食住,衣食住,必需品（ひつじゅひん）,必需品
いじわる,意地悪,心眼坏，刻薄,親切（しんせつ）,亲切
いちいち,,逐一，一个一个,全部（ぜんぶ）,全部
いちおう,一応，暂且，大致,完全に（かんぜんに）,完全
いちだんと,一段と,更加，进一步,少し（すこし）,稍微
いちりゅう,一流,一流，顶尖,三流（さんりゅう）,三流
いつ,佚,佚,佚（いつ）,佚
いっさくじつ,一昨日,前天,昨日（きのう）,昨天
いっさくねん,一昨年,前年,去年（きょねん）,去年
いっせい,一斉,一齐，同时,個別に（こべつに）,分别
いったん,一旦,一旦，暂时,二度と（にどと）,不再
いってい,一定,一定，固定,不定（ふてい）,不定
いってらっしゃい,,慢走，再见,ただいま（ただいま）,我回来了
いってまいります,行ってまいります,我出门了，走了,いってらっしゃい（いってらっしゃい）,慢走
いつのまにか,,不知不觉,気づくとき（きづくとき）,注意时
いてん,移転,迁移，搬移,移住（いじゅう）,移居
いど,井戸,水井,泉（いずみ）,泉
いど,緯度,纬度,経度（けいど）,经度
いとこ,従姉妹,堂表兄弟姐妹,兄弟（きょうだい）,兄弟
いばる,威張る,摆架子，逞威风,謙虚（けんきょ）,谦虚
いやがる,嫌がる,讨厌，不愿意,喜ぶ（よろこぶ）,高兴
いよいよ,,终于，到底，越发,未だ（まだ）,还没
いる,炒る/煎る,炒，煎,煮る（にる）,煮
いれもの,入れ物,容器,箱（はこ）,箱子
インキ,,墨水,ペン,钢笔
インタビュー,,采访,会見（かいけん）,会见
いんりょく,引力,引力,重力（じゅうりょく）,重力
ウーマン,,女性,女性（じょせい）,女性
ウール,,羊毛,綿（わた）,棉花
ウエートレス,,女服务员,ウェイター,男服务员
うえき,植木,盆栽，树木,花（はな）,花
うえる,飢える,饥饿,満腹（まんぷく）,饱
うかぶ,浮ぶ,浮起，浮现,沈む（しずむ）,沉
うかべる,浮かべる,浮起，表现出,沈める（しずめる）,使沉
うく,浮く,浮起，浮,沈む（しずむ）,沉
うけたまわる,承る,（敬语）听到，接受,聞く（きく）,听
うけとり,受取,收据,支払い（しはらい）,支付
うけもつ,受け持つ,担任，负责,放棄（ほうき）,放弃
うすぐらい,薄暗い,昏暗，发暗,明るい（あかるい）,明亮
うすめる,薄める,稀释，弄淡,濃くする（こくする）,弄浓
うちあわせ,打合せ,碰头会，商量,打ち合わせ（うちあわせ）,碰头
うちけす,打ち消す,否认,肯定（こうてい）,肯定
うつ,討つ,讨伐，攻打,攻める（せめる）,攻击
うっかり,,不小心，无意中,注意（ちゅうい）,注意
うつす,映す,映，照,移す（うつす）,移动
うつる,写る,照进，映现,移る（うつる）,移动
うつる,映る,映，照,写る（うつる）,照进
うどん,,乌冬面,そば,荞麦面
うむ,有無,有无,ある（ある）,有
うめる,埋める,填，埋,掘る（ほる）,挖
うやまう,敬う,尊敬，敬重,軽んじる（かろんじる）,轻视
うらがえす,裏返す,翻转,表返す（おもてがえす）,翻面
うらぐち,裏口,后门,表口（おもてぐち）,正门
うらなう,占う,占卜，预测,予言（よげん）,预言
うらみ,恨み,怨恨,恨（うらみ）,恨
うらむ,恨む,怀恨，记恨,愛する（あいする）,爱
うらやましい,羨ましい,羡慕,羨ましい（うらやましい）,羡慕
うらやむ,羨む,羡慕,憎む（にくむ）,憎恨
うりあげ,売上,销售额,仕入れ（しいれ）,进货
うりきれ,売り切れ,卖完,売り残り（うりのこり）,卖剩
うりきれる,売り切れる,卖完,売れる（うれる）,好卖
うれゆき,売行き,销路,売上（うりあげ）,销售额
うろうろ,,徘徊，转来转去,待つ（まつ）,等待
うんが,運河,运河,川（かわ）,河
うんと,,很多，大量,少し（すこし）,稍微
えいぶん,英文,英文,和文（わぶん）,日文
えいわ,英和,英和,和英（わえい）,和英
ええと,,嗯，那个,さて（さて）,那么
えきたい,液体,液体,気体（きたい）,气体
