假名,日语汉字,中文翻译,容易混淆的单词,混淆词翻译
あがる,上がる,上升/提高,(N5)あげる,给/举起
あつめる,集める,收集/召集（他动词）,集まる,集合（自动词）
あやまる,謝る,道歉,誤る,搞错/犯错
あんしんする,安心する,安心/放心,心配する,担心
いじめる,苛める,欺负/虐待,やめる,停止/放弃
いそぐ,急ぐ,着急/赶快,遅れる,迟到
いたす,致す,做（「する」的谦让语）,なさる,做（「する」的尊敬语）
いただく,頂く,吃/喝/收下（谦让语）,くださる,给我（尊敬语）
いのる,祈る,祈祷/祝福,祝う,庆祝
いらっしゃる,いらっしゃる,来/去/在（尊敬语）,おっしゃる,说（尊敬语）
うえる,植える,种植,育てる,培育
うごく,動く,动/运转,働く,工作
うける,受ける,接受/受到,渡す,递交
うつ,打つ,打/敲,押す,按/推
うつす,写す,抄写/拍照,移す,移动/搬迁
えらぶ,選ぶ,选择,並ぶ,排列
おくれる,遅れる,迟到/晚点,送る,寄送
おこす,起こす,叫醒/扶起（他动词）,起きる,起床（自动词）
おごる,奢る,请客,怒る,生气
おちる,落ちる,掉落/落榜（自动词）,落とす,弄掉/遗落（他动词）
おどろく,驚く,吃惊/惊讶,踊る,跳舞
おわる,終わる,结束（自动词）,終える,结束（他动词）
かざる,飾る,装饰,片付ける,整理
かたづける,片付ける,整理/收拾,捨てる,扔掉
がっかりする,がっかりする,失望,びっくりする,吓一跳
かのじょ,彼女,她/女朋友,彼,他/男朋友
かよう,通う,往返/上（学/班）,通る,通过
かわく,乾く,干/干燥,空く,空/有空
かんがえる,考える,考虑/思考,思い出す,想起来
きがえる,着替える,换衣服,変える,改变
きこえる,聞こえる,能听见,聞く,听
きまる,決まる,决定下来/定好（自动词）,決める,决定（他动词）
くらべる,比べる,比较,並べる,排列
くれる,くれる,（别人）给我,もらう,（我）得到
けす,消す,关掉/消除（他动词）,消える,熄灭/消失（自动词）
こたえる,答える,回答,質問する,提问
こむ,込む,拥挤,空く,空
こわす,壊す,弄坏/破坏（他动词）,壊れる,坏了（自动词）
さがす,探す,寻找（想要的东西）,捜す,寻找（丢失的东西）
さしあげる,差し上げる,给（「あげる」的谦让语）,いただく,得到（谦让语）
さす,指す,指/指向,押す,按/推
さわぐ,騒ぐ,吵闹,叫ぶ,叫喊
さわる,触る,触摸,見る,看
しかる,叱る,训斥/责备,褒める,表扬
しらせる,知らせる,通知,教える,告诉
しらべる,調べる,调查/查阅,見つける,找到
すう,吸う,吸（烟）/吸入,吐く,吐出
すぎる,過ぎる,通过/度过/过度,過ごす,度过
すすむ,進む,前进/进展,戻る,返回
すてる,捨てる,扔掉,拾う,捡
すべる,滑る,滑/滑倒,走る,跑
そだてる,育てる,培育/养育（他动词）,育つ,成长（自动词）
たおれる,倒れる,倒下/倒塌,倒す,推倒
たしかめる,確かめる,确认,試す,尝试
たすける,助ける,帮助/救助,手伝う,帮忙
たずねる,訪ねる,拜访,尋ねる,打听/询问
たてる,建てる,建造,立つ,站立
たのしむ,楽しむ,享受/期待,喜ぶ,高兴
たりる,足りる,足够,増える,增加
つかまえる,捕まえる,抓住/逮住,持つ,拿
つく,着く,到达,付く,附着/沾上
つつむ,包む,包裹,運ぶ,搬运
つづける,続ける,继续（他动词）,続く,继续（自动词）
つれていく,連れて行く,带（人）去,持って行く,带（东西）去
とどける,届ける,送到/呈报（他动词）,届く,送到（自动词）
とまる,泊まる,住宿/过夜,止まる,停止
とりかえる,取り替える,更换/交换,返す,归还
なおす,直す,修理/修改,治る,痊愈
なくす,無くす,丢失/弄丢,亡くなる,去世（尊敬语）
なくなる,無くなる,用完/消失（自动词）,無くす,弄丢（他动词）
なさる,なさる,做（「する」的尊敬语）,致す,做（谦让语）
ならぶ,並ぶ,排列（自动词）,並べる,排列（他动词）
にげる,逃げる,逃跑,投げる,投/扔
ぬすむ,盗む,偷窃,拾う,捡
ぬる,塗る,涂/抹,着る,穿（上衣）
ねむる,眠る,睡觉/睡眠,寝る,睡觉（更口语）
のこる,残る,剩下/残留（自动词）,残す,留下（他动词）
のりかえる,乗り換える,换乘,降りる,下车
はこぶ,運ぶ,搬运,持つ,拿
はじめる,始める,开始（他动词）,始まる,开始（自动词）
はずす,外す,取下/卸下,外れる,脱落/掉下
はらう,払う,支付,貰う,得到
ひえる,冷える,变冷/感觉冷（自动词）,冷やす,冷却/冰镇（他动词）
ひろう,拾う,捡/拾,捨てる,扔掉
ふえる,増える,增加（自动词）,増やす,增加（他动词）
ふむ,踏む,踩/踏,歩く,走
ほめる,褒める,表扬/夸奖,叱る,训斥
まける,負ける,输/落败,勝つ,赢
まにあう,間に合う,赶得上,遅れる,迟到
まわる,回る,转/绕,曲がる,拐弯
みつかる,見つかる,被找到（自动词）,見つける,找到（他-动词）
むかえる,迎える,迎接,送る,送行
やめる,辞める,辞职,やめる,停止（止める）
ゆれる,揺れる,摇晃/摇摆,振る,挥/摇
よごす,汚す,弄脏（他动词）,汚れる,脏了（自动词）
よる,寄る,顺便去/靠近,夜,夜晚
よろこぶ,喜ぶ,高兴/喜悦,楽しむ,享受
わかす,沸かす,烧开/使沸腾（他动词）,沸く,烧开/沸腾（自动词）
わかれる,別れる,分别/分手,分かる,明白
わらう,笑う,笑,泣く,哭
わる,割る,打破/弄碎（他动词）,割れる,碎了/裂开（自动词）
あいだ,間,期间/之间,間,房间
あじ,味,味道/风味,足,脚
あかちゃん,赤ちゃん,婴儿,お嬢さん,（别人的）女儿
あな,穴,洞/孔,花,花
あんない,案内,引导/向导,説明,说明
いけん,意見,意见,意味,意思
いし,石,石头,医者,医生
いじょう,以上,以上,以下,以下
いなか,田舎,乡下/老家,都会,都市
いのち,命,生命,命令,命令
いみ,意味,意思,意見,意见
うち,うち,（时间/范围内）之内,家,家
うんてんしゅ,運転手,司机,店員,店员
うんどう,運動,运动,運転,驾驶
えだ,枝,树枝,葉,叶子
おかし,お菓子,点心/糖果,お返し,回礼
おじ,伯父/叔父,伯父/叔父,おじいさん,爷爷/外公
おたく,お宅,府上（尊敬语）,うち,我家
おと,音,声音（无生命）,声,声音（有生命）
