假名,日语汉字,中文翻译,容易混淆的单词,混淆词翻译
あっ,,啊！,あい,爱
あい,愛,爱,あいさつ,问候
あいさつ,挨拶,问候,あいじょう,爱情
あいじょう,愛情,爱情,あいず,信号
あいず,合図,信号,アイスクリーム,冰淇淋
アイスクリーム,,冰淇淋,あいする,爱
あいする,愛する,爱,あいて,对方
あいて,相手,对方,あいにく,不巧
あいにく,,不巧,アイロン,熨斗
アイロン,,熨斗,アウト,出局
アウト,,出局,あかり,灯光
あかり,明かり,灯光,あき,空
あき,空き,空,あきらか,明显
あきらか,明らか,明显,あきらめる,放弃
あきらめる,諦める,放弃,あきる,厌倦
あきる,飽きる,厌倦,あくしゅ,握手
あくしゅ,握手,あくま,恶魔
あくま,悪魔,恶魔,あける,天亮
あける,明ける,天亮,あした,明天
あした,,明天,あずける,寄存
あずける,預ける,寄存,あせ,汗
あせ,汗,あたえる,给予
あたえる,与える,给予,あたり,附近
あたり,辺り,附近,あたる,命中
あたる,当たる,命中,あちこち,到处
あちこち,,到处,あつかう,处理
あつかう,扱う,处理,あつまり,集合
あつまり,集まり,集合,あてる,击中
あてる,当てる,击中,あと,痕迹
あと,跡,痕迹,あな,洞
あな,穴,洞,あびる,淋浴
あびる,浴びる,淋浴,あぶら,油
あぶら,油,あまり,不太
あまり,余り,不太,あやまり,错误
あやまり,誤り,错误,あら,粗糙
あら,粗,粗糙,あらし,风暴
あらし,嵐,风暴,あらた,新
あらた,新た,新,あらゆる,所有
あらゆる,,所有,あらわす,表示
あらわす,表す,表示,あらわす,显示
あらわれ,現れ,显现,あらわれる,出现
あらわれる,現れる,出现,ありがとう,谢谢
ありがとう,,谢谢,ある,有
ある,有る,有,あるいは,或者
あるいは,,或者,アルバム,相册
アルバム,,相册,あわ,泡沫
あわ,泡,泡沫,あわせる,合并
あわせる,合わせる,合并,あわれ,可怜
あわれ,哀れ,可怜,あん,计划
あん,案,计划,あんき,记忆
あんき,暗記,记忆,あんてい,稳定
あんてい,安定,稳定,あんない,向导
あんない,案内,向导,あんなに,那样
あんなに,,那样,あんまり,不太
あんまり,,不太,い,胃
い,胃,胃,いい,好
いい,,好,よい,好
よい,良い,好,いえ,不
いえ,いえ,不,いいん,委员
